"","Point","Y1V1","Y2V1","Y1V2","Y2V2","Observed"
"1","ID-B03-P01",1,0,0,0,1
"2","ID-B03-P02",1,0,1,0,1
"3","ID-B03-P03",0,0,1,1,1
"4","ID-B03-P04",1,0,1,1,1
"5","ID-B03-P05",0,0,1,0,1
"6","ID-B03-P06",0,0,1,0,1
"7","ID-B03-P07",0,0,1,0,1
"8","ID-B03-P08",1,0,1,0,1
"9","ID-B03-P09",1,1,0,0,1
"10","ID-B03-P10",0,0,1,0,1
"11","ID-B03-P11",0,1,1,1,1
"12","ID-B03-P12",0,1,1,1,1
"13","ID-B03-P13",0,0,0,0,0
"14","ID-B03-P14",0,0,0,1,1
"15","ID-B03-P15",0,1,0,1,1
"16","ID-B03-P16",0,1,0,1,1
"17","ID-B04-P01",0,0,0,0,0
"18","ID-B04-P02",0,0,0,0,0
"19","ID-B04-P03",0,0,0,0,0
"20","ID-B04-P04",0,0,0,0,0
"21","ID-B04-P05",0,0,0,0,0
"22","ID-B04-P06",0,0,0,0,0
"23","ID-B04-P07",0,0,0,0,0
"24","ID-B04-P08",0,0,0,0,0
"25","ID-B04-P09",0,0,0,0,0
"26","ID-B04-P10",0,0,0,0,0
"27","ID-B04-P11",0,0,0,0,0
"28","ID-B04-P12",0,0,0,0,0
"29","ID-B04-P13",0,0,0,0,0
"30","ID-B04-P14",0,0,1,0,1
"31","ID-B04-P15",0,0,0,0,0
"32","ID-B04-P16",0,0,0,0,0
"33","ID-B07-P01",0,0,0,0,0
"34","ID-B07-P02",0,0,1,0,1
"35","ID-B07-P03",0,0,0,0,0
"36","ID-B07-P04",0,0,1,0,1
"37","ID-B07-P05",0,0,0,0,0
"38","ID-B07-P06",0,0,1,0,1
"39","ID-B07-P07",0,0,0,0,0
"40","ID-B07-P08",0,0,0,0,0
"41","ID-B07-P09",0,0,0,0,0
"42","ID-B07-P10",0,0,0,0,0
"43","ID-B07-P11",0,0,1,0,1
"44","ID-B07-P12",0,0,1,0,1
"45","ID-B07-P13",0,0,0,0,0
"46","ID-B07-P14",0,0,0,0,0
"47","ID-B07-P15",0,0,0,0,0
"48","ID-B07-P16",0,0,0,0,0
"49","ID-B09-P01",0,0,0,0,0
"50","ID-B09-P02",0,0,0,0,0
"51","ID-B09-P03",0,0,0,0,0
"52","ID-B09-P04",0,0,0,0,0
"53","ID-B09-P05",0,0,0,0,0
"54","ID-B09-P06",0,0,0,0,0
"55","ID-B09-P07",0,0,0,0,0
"56","ID-B09-P08",0,0,0,0,0
"57","ID-B09-P09",0,0,0,0,0
"58","ID-B09-P10",0,0,0,0,0
"59","ID-B09-P11",0,0,0,0,0
"60","ID-B09-P12",0,0,0,0,0
"61","ID-B09-P13",0,0,0,0,0
"62","ID-B09-P14",0,0,0,0,0
"63","ID-B09-P15",0,0,0,0,0
"64","ID-B09-P16",0,0,0,0,0
"65","ID-B11-P01",0,0,0,0,0
"66","ID-B11-P02",0,0,0,0,0
"67","ID-B11-P03",0,0,0,0,0
"68","ID-B11-P04",0,0,0,0,0
"69","ID-B11-P05",0,0,0,0,0
"70","ID-B11-P06",0,0,0,0,0
"71","ID-B11-P07",0,0,0,0,0
"72","ID-B11-P08",0,0,0,0,0
"73","ID-B11-P09",0,0,0,0,0
"74","ID-B11-P10",0,0,0,0,0
"75","ID-B11-P11",0,0,0,0,0
"76","ID-B11-P12",0,0,0,0,0
"77","ID-B11-P13",0,0,0,0,0
"78","ID-B11-P14",0,0,0,0,0
"79","ID-B11-P15",0,0,0,0,0
"80","ID-B11-P16",0,0,0,0,0
"81","ID-B12-P01",0,0,0,0,0
"82","ID-B12-P02",0,0,0,0,0
"83","ID-B12-P03",0,0,0,0,0
"84","ID-B12-P04",0,0,0,0,0
"85","ID-B12-P05",0,0,0,0,0
"86","ID-B12-P06",0,0,0,0,0
"87","ID-B12-P07",0,0,0,0,0
"88","ID-B12-P08",0,0,0,0,0
"89","ID-B12-P09",0,0,0,0,0
"90","ID-B12-P10",0,0,0,0,0
"91","ID-B12-P11",0,0,0,0,0
"92","ID-B12-P12",0,0,0,0,0
"93","ID-B12-P13",0,0,0,0,0
"94","ID-B12-P14",0,0,0,0,0
"95","ID-B12-P15",0,0,0,0,0
"96","ID-B12-P16",0,0,0,0,0
"97","ID-B13-P01",0,0,0,0,0
"98","ID-B13-P02",0,0,1,0,1
"99","ID-B13-P03",1,0,0,0,1
"100","ID-B13-P04",0,0,0,0,0
"101","ID-B13-P05",1,0,0,0,1
"102","ID-B13-P06",0,0,0,0,0
"103","ID-B13-P07",0,0,0,0,0
"104","ID-B13-P08",0,0,0,0,0
"105","ID-B13-P09",0,0,0,0,0
"106","ID-B13-P10",0,0,0,0,0
"107","ID-B13-P11",0,0,0,0,0
"108","ID-B13-P12",0,0,0,0,0
"109","ID-B13-P13",0,0,0,0,0
"110","ID-B13-P14",1,0,0,0,1
"111","ID-B13-P15",1,0,0,0,1
"112","ID-B13-P16",0,0,0,0,0
"113","ID-B15-P01",0,0,0,0,0
"114","ID-B15-P02",0,0,0,0,0
"115","ID-B15-P03",0,0,0,0,0
"116","ID-B15-P04",0,0,0,0,0
"117","ID-B15-P05",0,0,0,0,0
"118","ID-B15-P06",0,0,0,0,0
"119","ID-B15-P07",0,0,0,0,0
"120","ID-B15-P08",0,0,0,0,0
"121","ID-B15-P09",0,0,0,0,0
"122","ID-B15-P10",0,0,0,0,0
"123","ID-B15-P11",0,0,0,0,0
"124","ID-B15-P12",0,0,0,0,0
"125","ID-B15-P13",0,0,0,0,0
"126","ID-B15-P14",0,0,0,0,0
"127","ID-B15-P15",0,0,0,0,0
"128","ID-B15-P16",0,0,0,0,0
"129","ID-B16-P01",0,0,0,0,0
"130","ID-B16-P02",0,0,0,0,0
"131","ID-B16-P03",0,0,0,0,0
"132","ID-B16-P04",0,0,0,0,0
"133","ID-B16-P05",0,0,0,0,0
"134","ID-B16-P06",0,0,0,0,0
"135","ID-B16-P07",0,0,0,0,0
"136","ID-B16-P08",0,0,1,0,1
"137","ID-B16-P09",0,0,0,0,0
"138","ID-B16-P10",0,0,0,0,0
"139","ID-B16-P11",0,0,0,0,0
"140","ID-B16-P12",0,0,0,0,0
"141","ID-B16-P13",0,0,0,0,0
"142","ID-B16-P14",0,0,0,0,0
"143","ID-B16-P15",0,0,0,0,0
"144","ID-B16-P16",0,0,0,0,0
"145","ID-B19-P01",0,0,0,0,0
"146","ID-B19-P02",0,0,0,0,0
"147","ID-B19-P03",0,0,0,0,0
"148","ID-B19-P04",0,0,0,0,0
"149","ID-B19-P05",0,0,0,0,0
"150","ID-B19-P06",0,0,0,0,0
"151","ID-B19-P07",0,0,0,0,0
"152","ID-B19-P08",0,0,0,0,0
"153","ID-B19-P09",0,0,0,0,0
"154","ID-B19-P10",0,0,0,0,0
"155","ID-B19-P11",0,0,0,0,0
"156","ID-B19-P12",0,0,0,0,0
"157","ID-B19-P13",0,0,0,0,0
"158","ID-B19-P14",0,0,0,0,0
"159","ID-B19-P15",0,0,0,0,0
"160","ID-B19-P16",0,0,0,0,0
"161","ID-B21-P01",0,0,0,0,0
"162","ID-B21-P02",1,0,0,0,1
"163","ID-B21-P03",0,0,0,0,0
"164","ID-B21-P04",0,0,0,0,0
"165","ID-B21-P05",0,0,0,1,1
"166","ID-B21-P06",0,0,0,0,0
"167","ID-B21-P07",0,0,0,0,0
"168","ID-B21-P08",0,0,0,1,1
"169","ID-B21-P09",0,0,0,0,0
"170","ID-B21-P10",1,0,0,0,1
"171","ID-B21-P11",0,0,0,0,0
"172","ID-B21-P12",0,0,0,0,0
"173","ID-B21-P13",0,0,0,0,0
"174","ID-B21-P14",0,0,0,0,0
"175","ID-B21-P15",0,0,0,0,0
"176","ID-B21-P16",0,0,0,0,0
"177","ID-B22-P01",0,0,0,0,0
"178","ID-B22-P02",0,0,0,0,0
"179","ID-B22-P03",0,0,0,0,0
"180","ID-B22-P04",0,0,0,0,0
"181","ID-B22-P05",0,0,0,0,0
"182","ID-B22-P06",0,0,0,0,0
"183","ID-B22-P07",0,0,0,0,0
"184","ID-B22-P08",0,0,0,0,0
"185","ID-B22-P09",0,0,0,0,0
"186","ID-B22-P10",1,0,0,0,1
"187","ID-B22-P11",0,0,0,0,0
"188","ID-B22-P12",0,0,0,0,0
"189","ID-B22-P13",0,0,0,0,0
"190","ID-B22-P14",0,0,0,0,0
"191","ID-B22-P15",0,0,0,0,0
"192","ID-B22-P16",0,0,0,0,0
"193","ID-B23-P01",0,0,0,0,0
"194","ID-B23-P02",0,0,0,0,0
"195","ID-B23-P03",0,0,0,0,0
"196","ID-B23-P04",0,0,0,0,0
"197","ID-B23-P05",0,0,0,0,0
"198","ID-B23-P06",0,0,0,0,0
"199","ID-B23-P07",0,0,0,0,0
"200","ID-B23-P08",0,0,0,0,0
"201","ID-B23-P09",0,0,0,0,0
"202","ID-B23-P10",0,0,0,0,0
"203","ID-B23-P11",0,0,0,0,0
"204","ID-B23-P12",0,0,0,0,0
"205","ID-B23-P13",0,0,0,0,0
"206","ID-B23-P14",0,0,0,0,0
"207","ID-B23-P15",0,0,0,0,0
"208","ID-B23-P16",0,0,0,0,0
"209","ID-B24-P01",0,0,0,0,0
"210","ID-B24-P02",0,0,0,0,0
"211","ID-B24-P03",1,0,0,0,1
"212","ID-B24-P04",0,0,0,0,0
"213","ID-B24-P05",1,0,0,0,1
"214","ID-B24-P06",0,0,0,0,0
"215","ID-B24-P07",0,0,0,0,0
"216","ID-B24-P08",0,0,0,0,0
"217","ID-B24-P09",0,0,0,0,0
"218","ID-B24-P10",0,0,0,0,0
"219","ID-B24-P11",0,0,0,0,0
"220","ID-B24-P12",1,0,0,0,1
"221","ID-B24-P13",0,0,1,0,1
"222","ID-B24-P14",0,0,1,0,1
"223","ID-B24-P15",0,0,1,0,1
"224","ID-B24-P16",0,0,0,0,0
"225","ID-B26-P01",0,0,0,0,0
"226","ID-B26-P02",0,0,0,0,0
"227","ID-B26-P03",0,0,0,0,0
"228","ID-B26-P04",0,0,0,0,0
"229","ID-B26-P05",0,0,0,0,0
"230","ID-B26-P06",0,0,0,0,0
"231","ID-B26-P07",1,0,0,0,1
"232","ID-B26-P08",1,1,0,0,1
"233","ID-B26-P09",1,1,0,0,1
"234","ID-B26-P10",0,0,0,0,0
"235","ID-B26-P11",0,0,0,1,1
"236","ID-B26-P12",0,0,0,0,0
"237","ID-B26-P13",0,1,0,0,1
"238","ID-B26-P14",0,1,0,0,1
"239","ID-B26-P15",0,0,0,0,0
"240","ID-B26-P16",0,0,0,0,0
"241","ID-B28-P01",0,0,0,1,1
"242","ID-B28-P02",0,0,0,1,1
"243","ID-B28-P03",0,0,0,0,0
"244","ID-B28-P04",0,1,0,0,1
"245","ID-B28-P05",0,0,0,0,0
"246","ID-B28-P06",0,0,0,0,0
"247","ID-B28-P07",0,0,0,0,0
"248","ID-B28-P08",0,0,0,0,0
"249","ID-B28-P09",0,0,0,0,0
"250","ID-B28-P10",0,0,0,0,0
"251","ID-B28-P11",0,0,0,0,0
"252","ID-B28-P12",0,0,0,0,0
"253","ID-B28-P13",0,0,0,0,0
"254","ID-B28-P14",0,0,0,0,0
"255","ID-B28-P15",0,0,0,0,0
"256","ID-B28-P16",0,0,0,0,0
"257","ID-C03-P01",1,0,1,0,1
"258","ID-C03-P02",1,0,0,0,1
"259","ID-C03-P03",0,0,0,0,0
"260","ID-C03-P04",0,0,0,0,0
"261","ID-C03-P05",0,0,0,0,0
"262","ID-C03-P06",0,0,0,0,0
"263","ID-C03-P07",0,0,0,0,0
"264","ID-C03-P08",0,0,0,0,0
"265","ID-C03-P09",0,0,0,0,0
"266","ID-C03-P10",0,0,0,0,0
"267","ID-C03-P11",0,0,0,0,0
"268","ID-C03-P12",0,0,0,0,0
"269","ID-C03-P13",0,0,1,0,1
"270","ID-C03-P14",0,0,1,0,1
"271","ID-C03-P15",0,0,1,0,1
"272","ID-C03-P16",0,0,1,0,1
"273","ID-C04-P01",1,0,0,0,1
"274","ID-C04-P02",1,0,0,0,1
"275","ID-C04-P03",1,0,0,1,1
"276","ID-C04-P04",1,0,1,0,1
"277","ID-C04-P05",1,0,0,1,1
"278","ID-C04-P06",0,0,0,0,0
"279","ID-C04-P07",0,0,0,0,0
"280","ID-C04-P08",1,0,1,0,1
"281","ID-C04-P09",1,1,0,1,1
"282","ID-C04-P10",1,1,1,1,1
"283","ID-C04-P11",1,1,1,0,1
"284","ID-C04-P12",0,1,0,0,1
"285","ID-C04-P13",1,1,0,0,1
"286","ID-C04-P14",1,1,1,1,1
"287","ID-C04-P15",1,1,1,0,1
"288","ID-C04-P16",1,1,1,0,1
"289","ID-C07-P01",0,0,0,0,0
"290","ID-C07-P02",1,0,0,0,1
"291","ID-C07-P03",1,0,1,0,1
"292","ID-C07-P04",0,0,1,0,1
"293","ID-C07-P05",0,0,0,0,0
"294","ID-C07-P06",0,0,0,0,0
"295","ID-C07-P07",0,0,0,0,0
"296","ID-C07-P08",1,0,0,0,1
"297","ID-C07-P09",0,0,0,0,0
"298","ID-C07-P10",0,0,0,0,0
"299","ID-C07-P11",1,0,0,0,1
"300","ID-C07-P12",1,0,0,0,1
"301","ID-C07-P13",1,0,0,0,1
"302","ID-C07-P14",1,0,1,0,1
"303","ID-C07-P15",1,0,1,0,1
"304","ID-C07-P16",1,0,0,0,1
"305","ID-C09-P01",1,0,0,1,1
"306","ID-C09-P02",1,0,0,1,1
"307","ID-C09-P03",1,0,0,1,1
"308","ID-C09-P04",0,0,0,1,1
"309","ID-C09-P05",0,0,0,1,1
"310","ID-C09-P06",0,0,0,1,1
"311","ID-C09-P07",0,0,0,1,1
"312","ID-C09-P08",0,0,0,0,0
"313","ID-C09-P09",0,0,0,0,0
"314","ID-C09-P10",0,0,0,0,0
"315","ID-C09-P11",1,0,0,0,1
"316","ID-C09-P12",0,0,0,0,0
"317","ID-C09-P13",0,0,0,0,0
"318","ID-C09-P14",0,0,0,0,0
"319","ID-C09-P15",0,0,0,0,0
"320","ID-C09-P16",1,0,0,0,1
"321","ID-C11-P01",0,0,0,0,0
"322","ID-C11-P02",0,0,0,0,0
"323","ID-C11-P03",0,0,0,0,0
"324","ID-C11-P04",0,0,0,0,0
"325","ID-C11-P05",0,0,0,0,0
"326","ID-C11-P06",0,0,0,0,0
"327","ID-C11-P07",0,0,0,0,0
"328","ID-C11-P08",0,0,0,0,0
"329","ID-C11-P09",0,0,0,0,0
"330","ID-C11-P10",0,0,0,0,0
"331","ID-C11-P11",0,0,0,0,0
"332","ID-C11-P12",0,0,0,0,0
"333","ID-C11-P13",0,0,0,0,0
"334","ID-C11-P14",0,0,0,0,0
"335","ID-C11-P15",0,0,0,0,0
"336","ID-C11-P16",0,0,0,0,0
"337","ID-C12-P01",0,0,1,0,1
"338","ID-C12-P02",0,0,1,0,1
"339","ID-C12-P03",0,0,1,1,1
"340","ID-C12-P04",0,0,1,1,1
"341","ID-C12-P05",0,0,1,0,1
"342","ID-C12-P06",0,0,1,0,1
"343","ID-C12-P07",0,0,1,0,1
"344","ID-C12-P08",0,0,0,0,0
"345","ID-C12-P09",0,0,0,0,0
"346","ID-C12-P10",0,0,0,1,1
"347","ID-C12-P11",1,0,0,1,1
"348","ID-C12-P12",0,0,0,0,0
"349","ID-C12-P13",0,0,0,0,0
"350","ID-C12-P14",1,0,0,1,1
"351","ID-C12-P15",0,0,0,1,1
"352","ID-C12-P16",0,0,0,0,0
"353","ID-C13-P01",0,0,0,0,0
"354","ID-C13-P02",0,0,0,0,0
"355","ID-C13-P03",0,0,0,0,0
"356","ID-C13-P04",0,0,1,0,1
"357","ID-C13-P05",0,0,0,0,0
"358","ID-C13-P06",0,0,0,0,0
"359","ID-C13-P07",0,0,1,0,1
"360","ID-C13-P08",0,0,0,0,0
"361","ID-C13-P09",0,0,0,0,0
"362","ID-C13-P10",0,0,0,0,0
"363","ID-C13-P11",0,1,0,0,1
"364","ID-C13-P12",0,1,0,0,1
"365","ID-C13-P13",0,0,1,0,1
"366","ID-C13-P14",0,0,0,0,0
"367","ID-C13-P15",0,1,0,0,1
"368","ID-C13-P16",0,1,0,0,1
"369","ID-C15-P01",0,1,0,0,1
"370","ID-C15-P02",0,0,0,0,0
"371","ID-C15-P03",1,0,0,0,1
"372","ID-C15-P04",1,0,1,0,1
"373","ID-C15-P05",0,0,0,0,0
"374","ID-C15-P06",0,0,1,0,1
"375","ID-C15-P07",0,0,0,0,0
"376","ID-C15-P08",0,0,1,0,1
"377","ID-C15-P09",0,0,1,0,1
"378","ID-C15-P10",0,0,0,0,0
"379","ID-C15-P11",0,0,1,0,1
"380","ID-C15-P12",0,0,1,0,1
"381","ID-C15-P13",0,0,0,0,0
"382","ID-C15-P14",0,0,0,0,0
"383","ID-C15-P15",0,0,1,0,1
"384","ID-C15-P16",0,0,1,0,1
"385","ID-C16-P01",0,0,1,0,1
"386","ID-C16-P02",0,0,1,1,1
"387","ID-C16-P03",1,0,0,1,1
"388","ID-C16-P04",1,1,0,0,1
"389","ID-C16-P05",1,0,0,1,1
"390","ID-C16-P06",0,0,0,1,1
"391","ID-C16-P07",0,1,0,1,1
"392","ID-C16-P08",0,1,0,0,1
"393","ID-C16-P09",0,0,1,1,1
"394","ID-C16-P10",1,0,1,1,1
"395","ID-C16-P11",0,1,1,1,1
"396","ID-C16-P12",0,0,0,0,0
"397","ID-C16-P13",0,0,0,0,0
"398","ID-C16-P14",0,0,0,0,0
"399","ID-C16-P15",0,0,0,0,0
"400","ID-C16-P16",0,0,1,0,1
"401","ID-C19-P01",1,0,0,0,1
"402","ID-C19-P02",0,0,0,1,1
"403","ID-C19-P03",0,0,0,0,0
"404","ID-C19-P04",0,0,0,0,0
"405","ID-C19-P05",0,0,0,0,0
"406","ID-C19-P06",0,0,0,1,1
"407","ID-C19-P07",0,0,0,1,1
"408","ID-C19-P08",0,0,0,0,0
"409","ID-C19-P09",0,1,0,1,1
"410","ID-C19-P10",0,1,0,1,1
"411","ID-C19-P11",0,1,0,0,1
"412","ID-C19-P12",0,0,0,0,0
"413","ID-C19-P13",0,0,0,1,1
"414","ID-C19-P14",0,1,0,1,1
"415","ID-C19-P15",0,0,0,0,0
"416","ID-C19-P16",0,0,0,0,0
"417","ID-C21-P01",1,0,0,0,1
"418","ID-C21-P02",1,0,1,0,1
"419","ID-C21-P03",1,0,0,0,1
"420","ID-C21-P04",0,0,0,0,0
"421","ID-C21-P05",1,0,0,0,1
"422","ID-C21-P06",1,0,0,0,1
"423","ID-C21-P07",1,0,0,0,1
"424","ID-C21-P08",1,0,0,0,1
"425","ID-C21-P09",1,0,1,0,1
"426","ID-C21-P10",1,0,0,0,1
"427","ID-C21-P11",0,1,1,0,1
"428","ID-C21-P12",1,0,0,0,1
"429","ID-C21-P13",1,0,0,1,1
"430","ID-C21-P14",0,0,0,0,0
"431","ID-C21-P15",1,1,1,1,1
"432","ID-C21-P16",0,0,0,1,1
"433","ID-C22-P01",0,1,1,1,1
"434","ID-C22-P02",0,1,1,0,1
"435","ID-C22-P03",0,0,1,0,1
"436","ID-C22-P04",0,0,1,0,1
"437","ID-C22-P05",0,1,1,1,1
"438","ID-C22-P06",0,0,1,0,1
"439","ID-C22-P07",0,0,1,0,1
"440","ID-C22-P08",0,0,1,1,1
"441","ID-C22-P09",0,1,0,1,1
"442","ID-C22-P10",0,1,1,0,1
"443","ID-C22-P11",0,0,1,0,1
"444","ID-C22-P12",0,1,0,0,1
"445","ID-C22-P13",0,1,1,0,1
"446","ID-C22-P14",0,1,1,1,1
"447","ID-C22-P15",0,1,1,1,1
"448","ID-C22-P16",0,0,1,1,1
"449","ID-C23-P01",0,0,0,0,0
"450","ID-C23-P02",0,0,0,0,0
"451","ID-C23-P03",0,0,0,0,0
"452","ID-C23-P04",0,0,0,0,0
"453","ID-C23-P05",0,0,0,0,0
"454","ID-C23-P06",0,0,0,0,0
"455","ID-C23-P07",0,0,0,0,0
"456","ID-C23-P08",0,0,0,0,0
"457","ID-C23-P09",0,0,0,0,0
"458","ID-C23-P10",0,0,0,0,0
"459","ID-C23-P11",0,0,0,0,0
"460","ID-C23-P12",0,0,0,0,0
"461","ID-C23-P13",0,0,0,0,0
"462","ID-C23-P14",0,0,0,0,0
"463","ID-C23-P15",0,0,0,0,0
"464","ID-C23-P16",0,0,0,0,0
