"","Species","Route.ID","Route.Type","SOI.Per.km2","se","lcl","ucl"
"1","BRSP","ID-B03","Burn",80.639524187234,9.5846150198977,62.8823635867012,103.411075701339
"2","BRSP","ID-B04","Burn",24.4106395090011,3.58475228718216,17.9863401281082,33.1295481456617
"3","BRSP","ID-B07","Burn",21.709927534907,7.10887717063986,11.051067894509,42.6493582403109
"4","BRSP","ID-B09","Burn",53.8799859960777,13.4632822965218,32.0100837429799,90.6918243090879
"5","BRSP","ID-B11","Burn",2.58564455533849,2.28687300527685,0.506777119365504,13.1923038966756
"6","BRSP","ID-B12","Burn",16.0988037286011,3.95711031372417,9.61287641210598,26.960866901985
"7","BRSP","ID-B13","Burn",54.5499055850647,8.80955019437802,38.7968558930927,76.6993131489622
"8","BRSP","ID-B15","Burn",11.3061333030021,7.95483157811498,2.91419872127372,43.8640815165078
"9","BRSP","ID-B16","Burn",4.70615408663552,3.57547852094818,1.10746003646171,19.998813102022
"10","BRSP","ID-B19","Burn",44.927382608523,8.33604374081148,30.4076545349551,66.3803157107131
"11","BRSP","ID-B21","Burn",3.56344307691461,1.32562246722292,1.6555395903182,7.67008329892616
"12","BRSP","ID-B22","Burn",11.8982575963916,5.22936642604561,4.83629196867137,29.2721230949551
"13","BRSP","ID-B23","Burn",129.042409917557,14.2998126996884,103.071553550833,161.557122054229
"14","BRSP","ID-B24","Burn",29.8845373509498,5.76449987152604,19.9343414517431,44.8013582411183
"15","BRSP","ID-B26","Burn",53.9835203051951,11.8661279529563,33.9912296100285,85.7344820406741
"16","BRSP","ID-B28","Burn",51.1675735930724,7.37698687595876,37.8419088750856,69.1857431411503
"17","BRSP","ID-C03","Reference",26.5033439719306,6.28834389217898,16.1149992623417,43.5884128977861
"18","BRSP","ID-C04","Reference",59.237358930802,6.94974589217705,46.2875932433299,75.8100485944435
"19","BRSP","ID-C07","Reference",109.661784118505,16.5650991094617,79.754848551689,150.783395798937
"20","BRSP","ID-C09","Reference",133.659834065801,13.0316221000095,108.933700306087,163.998387939635
"21","BRSP","ID-C11","Reference",236.823341571786,36.6094378735915,172.029834262704,326.020747236085
"22","BRSP","ID-C12","Reference",170.289579100231,20.2488524693409,133.702407285926,216.88869586409
"23","BRSP","ID-C13","Reference",138.367568290224,17.9533433095788,105.508858788524,181.459492353378
"24","BRSP","ID-C15","Reference",112.495100646459,13.5405526597284,87.2975505065458,144.965667375835
"25","BRSP","ID-C16","Reference",76.5956442159403,10.379803446055,57.5396110678491,101.962675867531
"26","BRSP","ID-C19","Reference",139.508568565352,22.8514074944835,99.7078267903778,195.196719552127
"27","BRSP","ID-C21","Reference",47.0353131909072,6.92432261075457,34.4975210113232,64.1298453370192
"28","BRSP","ID-C22","Reference",192.215366157628,15.0317272258662,163.632093867418,225.791567619044
"29","BRSP","ID-C23","Reference",55.4951142361077,6.37511801076919,43.6072298179391,70.6237868568234
"30","BRSP","ID-C24","Reference",102.687753503256,21.4841577005681,66.403800892543,158.797758227867
"31","BRSP","ID-C26","Reference",93.1349748664334,8.51539600965949,76.9465924566075,112.729144546106
"32","BRSP","ID-C28","Reference",324.516388553459,26.3296855707581,275.206594567282,382.661202597141
"33","BRSP","UT-B01","Burn",4.91226283874142,2.03757492175692,2.09848366323676,11.4989345019063
"34","BRSP","UT-B02","Burn",0,0,0,0
"35","BRSP","UT-B05","Burn",6.48585245160176,3.56616402098327,2.16189161350156,19.4580902026882
"36","BRSP","UT-B06","Burn",0,0,0,0
"37","BRSP","UT-B08","Burn",53.2383696868947,9.10367838016875,37.082037246144,76.4338805903442
"38","BRSP","UT-B15","Burn",137.772079207342,17.5570684227165,105.513469854623,179.8931059254
"39","BRSP","UT-B16","Burn",93.6683889295994,9.35996352099075,75.998866595868,115.446025416696
"40","BRSP","UT-B17","Burn",136.290743044948,10.8421359314921,114.964288971273,161.573361658292
"41","BRSP","UT-B19","Burn",126.61346456635,21.2372885524486,89.6644626192316,178.788440160194
"42","BRSP","UT-B22","Burn",3.31662909456908,2.38372489528701,0.790693781932702,13.9118693004701
"43","BRSP","UT-B24","Burn",199.62833514077,21.4302050789488,160.390043612024,248.465997599417
"44","BRSP","UT-B25","Burn",22.5351087130303,5.67983270512344,13.164735860817,38.5751092978313
"45","BRSP","UT-B27","Burn",6.1803298285347,4.36025116744366,1.58427475659685,24.1097553504701
"46","BRSP","UT-B30","Burn",34.6180419920662,6.38526783205006,23.4747085896514,51.0510631809404
"47","BRSP","UT-C01","Reference",102.671463924322,8.47897246373446,86.5644929144828,121.775443365414
"48","BRSP","UT-C02","Reference",18.2662858171925,6.43475754417981,8.33663468925626,40.0230080832695
"49","BRSP","UT-C05","Reference",139.276660176053,15.3123188295233,112.036827179745,173.139391377756
"50","BRSP","UT-C06","Reference",16.1619987324435,3.46532864057751,10.3111983613614,25.3326717102374
"51","BRSP","UT-C08","Reference",49.641770035653,5.67036070969368,39.1695331539049,62.9138295468039
"52","BRSP","UT-C15","Reference",50.8449046924147,6.3271258504481,39.1562478735427,66.0227798518846
"53","BRSP","UT-C16","Reference",67.8669921029605,12.3503873958615,46.1901436764415,99.7166982066022
"54","BRSP","UT-C17","Reference",132.661513404479,12.8895884253854,107.348192386779,163.943861069935
"55","BRSP","UT-C19","Reference",78.6512497047947,8.06839043821257,63.3685277028632,97.6197381314016
"56","BRSP","UT-C22","Reference",21.0533964670588,4.35668985724584,13.4212961179047,33.0255363494924
"57","BRSP","UT-C24","Reference",49.1080475447769,7.96854701952987,34.9031148312346,69.0941294300172
"58","BRSP","UT-C25","Reference",34.1338112073912,6.53389821300345,22.6639450288575,51.4083962901565
"59","BRSP","UT-C27","Reference",94.6778234081875,14.3247004590062,69.2702837170473,129.404555089269
"60","BRSP","UT-C30","Reference",142.384345803362,24.3687951849349,99.3230685689978,204.1147361025
